Username,User ID,Price,Strength,Intel,Combined
PRlNCESSJASMlNE--,1857829266,7.96004E+11,661698,4008096,4669794
X-MagicallyLucky-X,1018417532,7.96719E+11,1115984,3654778,4770762
__Danger-Dark__,1353966594,7.97884E+11,3573398,3420440,6993838
DracoLucius,683451072,7.97884E+11,4059468,3190932,7250400
AnilAgarwal2,749919810,7.98673E+11,439804,2682956,3122760
_--II--__WYLD_--II__I-ROSE_--_,1085335192,7.93858E+11,1229872,2426450,3656322
Baka__,78711712,7.99321E+11,2281986,1724208,4006194
SMC-x-_-karma-_-x,1387708820,7.94394E+11,2214014,1654968,3868982
Jimmy___,650090497,7.9563E+11,2837452,1615830,4453282
xbrunettebeautyx,212907120,7.99984E+11,3698958,1516706,5215664
OraAurora,682862400,7.98546E+11,522370,1504424,2026794
MyCherry,1287498119,7.96338E+11,1661498,1495788,3157286
TaeTae,447962374,7.96495E+11,1432798,1378954,2811752
DetroitvsEverybody,448140131,7.97884E+11,1642376,1374900,3017276
K---G---F,1388181947,7.95287E+11,1196328,1348306,2544634
Dawn_939,1588782100,7.93858E+11,1204026,1306412,2510438
ll-Taniya-ll,1992284678,7.93858E+11,1415984,1273658,2689642
EG-Pepper,180198058,7.98546E+11,1252406,1215746,2468152
jaycie22,1420910340,7.97884E+11,1159890,1177936,2337826
Tonic_Pam,515046524,7.94516E+11,1172360,1172360,2344720
lmn-ThedarkChocolate,447810833,7.9738E+11,2703516,1118754,3822270
AphroDeity,280165627,7.95287E+11,1108806,1108806,2217612
iRajLOVEsAyushi_Wifey,1521891912,7.93858E+11,1178120,1100210,2278330
Candy-xx-Cat,1186130579,7.94412E+11,210002,1091696,1301698
RKO8,548645025,7.93858E+11,1007400,1090880,2098280
BANANA-KING,1253070924,7.97884E+11,1306800,1086000,2392800
popejr,1152813050,7.93858E+11,1362384,1070164,2432548
Xylia51,1052132964,7.94126E+11,1050912,1050992,2101904
Cooline,1890680982,7.95287E+11,1209298,919786,2129084
-Silent_Gem-,1253289852,7.97884E+11,3201150,906990,4108140
Tristan_69,1320364732,7.97884E+11,884604,895536,1780140
X_QUEEN_KLAR_X,1690146298,7.93858E+11,840800,840800,1681600
LadyLuna6,1756498476,7.96896E+11,756316,814172,1570488
Doo25,1086099273,7.95785E+11,1399708,778372,2178080
simkc19,347477789,7.94126E+11,741644,756300,1497944
Case108,482181649,7.96704E+11,3202248,719032,3921280
ItsOrganik,246619435,7.95947E+11,1799702,679784,2479486
-Romeo-,1757255957,7.97884E+11,667930,666546,1334476
Yassssss,1689402389,7.96781E+11,757734,648786,1406520
whispered,1957769205,7.98154E+11,1367042,627410,1994452
Etheos,45266034,7.99973E+11,361142,495772,856914
r45,2058432652,7.96988E+11,2915858,477142,3393000
Hello---,45157568,7.97577E+11,1262758,473904,1736662
-socialite-,447772012,7.94126E+11,621566,466456,1088022
Disclosure,649211129,7.93858E+11,2802166,458854,3261020
GoblinBride,247232413,7.96216E+11,2796200,457878,3254078
WolfKing666,951315133,7.97871E+11,441750,441750,883500
SassyDee,549234509,7.97868E+11,435660,435660,871320
TheGayBoy,314031724,7.96988E+11,2639766,433130,3072896
PrincessLiyah,582069686,7.99321E+11,1006208,399096,1405304
C,280113446,7.93858E+11,2320010,379852,2699862
TheFakeSlimShady,1857050351,7.93858E+11,1966046,370134,2336180
peaceangel777,313724242,7.94289E+11,346360,357684,704044
-Minxs-FlAIRlMIlIlBlEIAlSIT-,1085375923,7.94395E+11,1259620,321476,1581096
ToAsTy--,784092873,7.97838E+11,1075536,319670,1395206
Lahure94,347978017,7.97884E+11,688310,298592,986902
Leprechaun,716318503,7.96374E+11,1600452,294618,1895070
KittyKae,1992088016,7.97884E+11,286058,292622,578680
op215,1320254227,7.95947E+11,1478666,242250,1720916
GoldenGopher,1186339789,7.95556E+11,235420,235420,470840
-IILizII-,213712024,7.93858E+11,1130142,225916,1356058
Beardicus,1488077948,7.96004E+11,215876,215876,431752
Justin3920,314337961,7.94516E+11,1136884,186334,1323218
Axerylle,146648171,7.9781E+11,800796,155180,955976
ravanraj1204,1857939463,7.94516E+11,888800,145634,1034434
PvP-GetClapped-PvP,11787280,7.98154E+11,851828,139894,991722
mub-ashir,481409754,7.95287E+11,112354,105490,217844
Savannah020721,1454540288,7.95287E+11,446872,97424,544296
UndercoverPenguin,1353886814,7.98546E+11,511602,84464,596066
_TOMMY_,1992093694,7.99586E+11,59090,80734,139824
dreawaya,381618664,7.95287E+11,61492,54390,115882
MaryBeth1225,515033994,7.97353E+11,46322,50616,96938
kaebaby,280769835,7.97032E+11,56744,47766,104510
shia20,1286791484,7.98766E+11,58968,46350,105318
Sc0rp1aN16,380666544,7.98816E+11,96958,42178,139136
00Princess00,1455286522,7.93858E+11,70832,39390,110222
Traygon,683641730,7.96969E+11,25000,25500,50500
alisa1537,683457716,7.93981E+11,16328,24332,40660
maddie691,1185998024,7.94114E+11,16848,16848,33696
LoonieMoonie,1119285549,7.94126E+11,13158,14660,27818
peculiargeorge,1689446170,7.96374E+11,16964,13802,30766
idgaf_about-depression,716350814,7.93979E+11,14702,10464,25166
buckets8,2091943084,7.93974E+11,8952,8078,17030
M20,682661286,7.94785E+11,4392,5940,10332
Lily15312,1287505259,7.97884E+11,6136,5232,11368
PIMDShadeRoom,280813331,7.97884E+11,5064,5064,10128
AmandaTheHottie,1789958745,7.99321E+11,4216,4216,8432
jorden5,1219976371,7.96719E+11,4224,4216,8440
6XxOneHappyFatCatxX9,179400939,7.95901E+11,3852,4156,8008
penny947,1287507917,7.94293E+11,3616,4008,7624
R41N2,314355147,7.96427E+11,3712,3608,7320
KELLY40,984644172,7.98424E+11,3756,3452,7208
mockingrjay8,1119276095,7.96215E+11,3962,3310,7272
XxenaX,414211341,7.94126E+11,3984,2776,6760
DarkChan,1354188848,7.99321E+11,2604,2500,5104
Dayzee923,1051800303,7.94126E+11,1590,1502,3092
iam2cool4u,313593107,7.94126E+11,5004,834,5838
darth_slayer,1857051037,7.98143E+11,558,512,1070
0l141A,1924938454,7.94516E+11,496,512,1008
brozz42,112406133,7.95967E+11,2926,490,3416
xcharlottex99,1421236304,7.94057E+11,248,270,518
